name,latitude,longitude,postal_code,city,country
,50.8358365,5.7132017,6229 HX,Maastricht,Nederland
,50.8357970,5.7134867,6229 HX,Maastricht,Nederland
,50.8358730,5.7136816,6229 HX,Maastricht,Nederland
,50.8575168,5.7243832,6225 XP,Maastricht,Nederland
,50.8327142,5.7083361,6229 HB,Maastricht,Nederland
,50.7876012,5.6916190,4600,Visé,België / Belgique / Belgien
,50.8465288,5.6094175,3740,Bilzen,België / Belgique / Belgien
,50.8604126,5.5764779,3740,Bilzen,België / Belgique / Belgien
,50.8498915,5.7322736,6226 WX,Maastricht,Nederland
,50.8510207,5.7324291,6226 WX,Maastricht,Nederland
,50.8327853,5.6562325,6213 JA,Maastricht,Nederland
,50.8330789,5.6555515,6213 JC,Maastricht,Nederland
,50.7847736,5.7284406,6245 LZ,Eijsden,Nederland
,50.7955706,5.6877261,4600,Visé,België / Belgique / Belgien
,50.8420611,5.6713134,6213 GB,Maastricht,Nederland
,50.8411977,5.6724225,6213 CR,Maastricht,Nederland
,50.8390902,5.6920332,6212 BV,Maastricht,Nederland
,50.8521035,5.6635844,6216 BP,Maastricht,Nederland
,50.8523460,5.6641940,6216 CN,Maastricht,Nederland
,50.8555680,5.6811034,6217 SC,Maastricht,Nederland
,50.8415628,5.7082198,6221,Maastricht,Nederland
,50.8413391,5.7083704,6221,Maastricht,Nederland
,50.8417205,5.7083738,6221,Maastricht,Nederland
,50.8419227,5.7088766,6221,Maastricht,Nederland
,50.8420312,5.7092426,6221,Maastricht,Nederland
,50.8424509,5.7099576,6221,Maastricht,Nederland
,50.9098613,5.6972390,3620,Lanaken,België / Belgique / Belgien
,50.9100697,5.6940161,,Lanaken,België / Belgique / Belgien
,50.8421256,5.7143116,6224 LS,Maastricht,Nederland
,50.9231013,5.7255502,3631,Maasmechelen,België / Belgique / Belgien
,50.9238364,5.7244012,3631,Maasmechelen,België / Belgique / Belgien
,50.9206997,5.7072794,3631,Maasmechelen,België / Belgique / Belgien
,50.8554012,5.6460950,6216 GK,Maastricht,Nederland
,50.8517800,5.6638752,6216 BP,Maastricht,Nederland
,50.7720236,5.7190502,6245 JN,Eijsden,Nederland
,50.8470278,5.7701215,6268 NA,Bemelen,Nederland
,50.8510634,5.6664756,6216 CW,Maastricht,Nederland
,50.8561337,5.6540176,6216 AH,Maastricht,Nederland
,50.8524372,5.7115092,6224 EM,Maastricht,Nederland
,50.8371529,5.6858566,6212 NH,Maastricht,Nederland
,50.8339926,5.6846530,6212 NH,Maastricht,Nederland
,50.8700430,5.7927459,6301 KA,Valkenburg,Nederland
,50.8699583,5.7946557,6301 KA,Valkenburg,Nederland
,50.8692406,5.7913766,6301 KA,Valkenburg,Nederland
,50.9175402,5.7719976,6235 AN,Ulestraten,Nederland
,50.8490612,5.6803833,6211 NR,Maastricht,Nederland
,50.8823821,5.6050997,3620,Lanaken,België / Belgique / Belgien
,50.7633856,5.6791729,4600,Visé,België / Belgique / Belgien
,50.7779127,5.6966364,4600,Visé,België / Belgique / Belgien
,50.8278363,5.6466687,3770,Riemst,België / Belgique / Belgien
,50.8549768,5.6929674,6211 BC,Maastricht,Nederland
,50.8551041,5.6934025,6211 JW,Maastricht,Nederland
,50.8495937,5.6637163,6216 CR,Maastricht,Nederland
,50.8417168,5.6580899,6216 PK,Maastricht,Nederland
,50.8418295,5.6575860,6215 TW,Maastricht,Nederland
,50.8923430,5.6739285,3620,Lanaken,België / Belgique / Belgien
,50.8320681,5.7136740,6229 HD,Maastricht,Nederland
,50.8371333,5.6541575,6215 AK,Maastricht,Nederland
,50.8413427,5.7199662,6227 SL,Maastricht,Nederland
,50.7766093,5.7294164,6245 SJ,Eijsden,Nederland
,50.7774063,5.7292684,6245 SJ,Eijsden,Nederland
,50.7779699,5.7297651,6245 SJ,Eijsden,Nederland
,50.8456856,5.6904899,6211 JJ,Maastricht,Nederland
,50.8358584,5.7477232,6267 NL,Cadier en Keer,Nederland
,50.8554587,5.7298424,6226 DE,Maastricht,Nederland
,50.8551358,5.7234731,6225 XP,Maastricht,Nederland
,50.8553364,5.7233265,6225 XP,Maastricht,Nederland
,50.8622551,5.7268494,6225 DA,Maastricht,Nederland
,50.8158835,5.7096723,6229 AB,Maastricht,Nederland
,50.8510261,5.6859333,6211 RP,Maastricht,Nederland
,50.8354645,5.7112343,6228 HA,Maastricht,Nederland
P+R Maastricht Noord I,50.8724613,5.7174139,6222 PB,Maastricht,Nederland
,50.8635631,5.7157956,6222 TN,Maastricht,Nederland
,50.8636698,5.7164548,6222 TM,Maastricht,Nederland
,50.8096910,5.6037856,3770,Riemst,België / Belgique / Belgien
,50.7731910,5.7474620,6265 NL,Eijsden,Nederland
,50.8603380,5.6516864,6218 RA,Maastricht,Nederland
,50.8431306,5.6777947,6213 GA,Maastricht,Nederland
,50.9089014,5.6911196,3620,Lanaken,België / Belgique / Belgien
,50.9245680,5.6997250,3621,Lanaken,België / Belgique / Belgien
,50.9223022,5.6947290,3621,Lanaken,België / Belgique / Belgien
,50.9233191,5.6914630,3621,Lanaken,België / Belgique / Belgien
,50.9231249,5.6919173,3621,Lanaken,België / Belgique / Belgien
,50.9230643,5.6905229,3621,Lanaken,België / Belgique / Belgien
,50.8443589,5.6880942,6211 KH,Maastricht,Nederland
,50.8534840,5.6861758,,Maastricht,Nederland
,50.8561417,5.6799082,6217 SC,Maastricht,Nederland
,50.8511806,5.7302755,6226 BA,Maastricht,Nederland
,50.8500162,5.7289933,,Maastricht,Nederland
Winkelcentrum Noorderbrug,50.8569892,5.7005273,6221 XZ,Maastricht,Nederland
,50.9222101,5.6947065,3621,Lanaken,België / Belgique / Belgien
,50.8136880,5.7073878,6229 AB,Maastricht,Nederland
,50.8061100,5.7072321,6245 LC,Eijsden,Nederland
,50.8254413,5.6951451,6212 NB,Maastricht,Nederland
,50.8706357,5.8003074,6301 JC,Valkenburg,Nederland
,50.8709705,5.8003281,6301 JC,Valkenburg,Nederland
,50.8567872,5.6790017,6217 SC,Maastricht,Nederland
,50.7655244,5.7207343,6245 KB,Eijsden,Nederland
,50.8435760,5.7194265,6227 AH,Maastricht,Nederland
,50.8328595,5.6554359,6213 JC,Maastricht,Nederland
,50.8326404,5.6542918,6213 JK,Maastricht,Nederland
,50.8322175,5.6538411,6213 JK,Maastricht,Nederland
,50.8323685,5.6531481,6213 KG,Maastricht,Nederland
,50.8330508,5.6541455,6213 JG,Maastricht,Nederland
,50.8057642,5.6760354,3770,Riemst,België / Belgique / Belgien
,50.8574271,5.8324280,6301 BN,Valkenburg,Nederland
,50.8571721,5.8323545,6301 BN,Valkenburg,Nederland
,50.8570616,5.7192350,6225 XW,Maastricht,Nederland
,50.8494935,5.6788418,6211 PJ,Maastricht,Nederland
,50.8319839,5.6445268,3770,Riemst,België / Belgique / Belgien
,50.8329512,5.6479246,3770,Riemst,België / Belgique / Belgien
,50.8330600,5.6475850,3770,Riemst,België / Belgique / Belgien
,50.8847928,5.6370929,3620,Lanaken,België / Belgique / Belgien
,50.8850653,5.6403945,3620,Lanaken,België / Belgique / Belgien
,50.8854764,5.6413661,3620,Lanaken,België / Belgique / Belgien
,50.8878498,5.6391649,3620,Lanaken,België / Belgique / Belgien
,50.8239601,5.6249645,3770,Riemst,België / Belgique / Belgien
,50.8776264,5.6274512,3620,Lanaken,België / Belgique / Belgien
Sphinx,50.8558290,5.6878268,6211 XT,Maastricht,Nederland
,50.7879113,5.7518487,6265 NC,Sint Geertruid,Nederland
Bassin,50.8534190,5.6920650,6211 BD,Maastricht,Nederland
´t Bergske,50.8855150,5.7554051,6231 KC,Rothem,Nederland
Kerkplein,50.8879485,5.7471229,6231 ES,Rothem,Nederland
,50.8977924,5.7284396,6241 DH,Bunde,Nederland
,50.8536415,5.7223265,6226 VV,Maastricht,Nederland
,50.8787598,5.7375945,6231 BP,Rothem,Nederland
,50.8770940,5.7357421,6231 BC,Rothem,Nederland
,50.8773977,5.7359802,6231 BC,Rothem,Nederland
,50.8824475,5.7444937,6231 CZ,Rothem,Nederland
Marktplein,50.9223262,5.7501791,6243 BR,Geulle aan de Maas,Nederland
Sint Agnesplein,50.8968176,5.7323021,6241 CA,Bunde,Nederland
,50.8959798,5.6704557,3620,Lanaken,België / Belgique / Belgien
,50.8960625,5.6717620,3620,Lanaken,België / Belgique / Belgien
,50.8386382,5.7498148,6267 NL,Cadier en Keer,Nederland
,50.8375923,5.7499231,6267 NL,Cadier en Keer,Nederland
,50.8953895,5.7342152,6241 BX,Bunde,Nederland
,50.8960014,5.7337201,6241 CD,Bunde,Nederland
,50.9057897,5.7793478,6235 BP,Ulestraten,Nederland
,50.9015840,5.7728872,6235 NR,Ulestraten,Nederland
,50.8641033,5.7747551,6325 GC,Berg en Terblijt,Nederland
,50.9240157,5.7398614,6243 NG,Geulle aan de Maas,Nederland
,50.8836316,5.7599984,6231 LB,Meerssen,Nederland
,50.7785827,5.7113600,6245 GE,Eijsden,Nederland
Breusterhof,50.7776163,5.7107149,6245 HV,Eijsden,Nederland
,50.7772285,5.7108182,6245 EH,Eijsden,Nederland
,50.7780647,5.7089025,6245 EM,Eijsden,Nederland
Plus,50.7771594,5.7094357,6245 EK,Eijsden,Nederland
,50.9323667,5.6692792,3621,Lanaken,België / Belgique / Belgien
,50.9279034,5.6641562,3621,Lanaken,België / Belgique / Belgien
,50.8829956,5.7547715,6231 LV,Rothem,Nederland
,50.8850879,5.7561674,6231 KC,Rothem,Nederland
Thermae 2000,50.8592069,5.8229956,6301 BT,Valkenburg,Nederland
P+R Maastricht Noord II,50.8717929,5.7180040,6222 PB,Maastricht,Nederland
Stadspark III,50.8418128,5.6969104,6212 XN,Maastricht,Nederland
,50.8865851,5.7478404,6231 GX,Rothem,Nederland
,50.8875332,5.7482193,6231 GX,Rothem,Nederland
P+R Meerssenerweg,50.8515132,5.7061119,6224 AH,Maastricht,Nederland
,50.8507315,5.7064777,6224 AJ,Maastricht,Nederland
,50.8884922,5.7468876,6231 HG,Rothem,Nederland
,50.8815527,5.7566043,6231 CJ,Rothem,Nederland
,50.9138397,5.7435643,6243 CA,Geulle,Nederland
,50.8292783,5.7602439,6267 AD,Cadier en Keer,Nederland
,50.8449028,5.7183763,6227 AH,Maastricht,Nederland
,50.8865342,5.7527768,6231 JZ,Rothem,Nederland
,50.8867707,5.7516811,6231 JX,Rothem,Nederland
,50.8959600,5.7436201,6241 EK,Bunde,Nederland
,50.8623944,5.6809372,6219 PK,Maastricht,Nederland
,50.8928839,5.7074239,6223 EV,Maastricht,Nederland
,50.9095845,5.7900021,6235 NV,Ulestraten,Nederland
,50.8916979,5.7468544,6231 HB,Meerssen,Nederland
,50.8888260,5.7450702,6231 HE,Rothem,Nederland
,50.8885995,5.7456427,6231 HE,Rothem,Nederland
,50.8884251,5.7461766,6231 HE,Rothem,Nederland
,50.9171549,5.7878302,6199 AB,Maastricht-Airport,Nederland
,50.8240692,5.8261199,6269 HA,Margraten,Nederland
,50.8210641,5.8235740,6269 DB,Margraten,Nederland
,50.8209323,5.8223535,6269 DD,Margraten,Nederland
,50.8209949,5.8227907,6269 DB,Margraten,Nederland
Amerikaplein,50.8204022,5.8224373,6269 DA,Margraten,Nederland
Schinkepoort,50.8201302,5.8237679,6269 DZ,Margraten,Nederland
,50.8199323,5.8208444,6269 BP,Margraten,Nederland
,50.8753483,5.6870180,6223 AD,Maastricht,Nederland
Frontenpark,50.8555652,5.6847502,6211 WB,Maastricht,Nederland
,50.8175270,5.8031962,6269 AX,Margraten,Nederland
,50.8156511,5.8028326,6269 AX,Margraten,Nederland
,50.8202700,5.7095100,6229 ZD,Maastricht,Nederland
,50.8954030,5.7000873,6223 GZ,Maastricht,Nederland
,50.9253025,5.6872955,3621,Lanaken,België / Belgique / Belgien
,50.8659194,5.8191716,6301 GN,Valkenburg,Nederland
,50.8871110,5.7508143,6231 HH,Rothem,Nederland
,50.9203332,5.7741304,6199 AA,Maastricht-Airport,Nederland
,50.8999367,5.7642438,6235 NN,Ulestraten,Nederland
,50.8029518,5.5708806,3770,Riemst,België / Belgique / Belgien
,50.8115411,5.6044168,3770,Riemst,België / Belgique / Belgien
,50.8314128,5.5984907,3770,Riemst,België / Belgique / Belgien
,50.8624671,5.5737798,3740,Bilzen,België / Belgique / Belgien
,50.8144461,5.5977247,3770,Riemst,België / Belgique / Belgien
,50.8140614,5.5973547,3770,Riemst,België / Belgique / Belgien
,50.8145536,5.5969774,3770,Riemst,België / Belgique / Belgien
,50.8362981,5.5524125,3740,Bilzen,België / Belgique / Belgien
,50.8909065,5.6697139,3620,Lanaken,België / Belgique / Belgien
,50.7717390,5.7096194,6245 AE,Eijsden,Nederland
,50.7714450,5.7093068,6245 AE,Eijsden,Nederland
,50.8379868,5.5535638,3740,Bilzen,België / Belgique / Belgien
,50.8380280,5.5530982,3740,Bilzen,België / Belgique / Belgien
,50.8379463,5.5531908,3740,Bilzen,België / Belgique / Belgien
,50.8307128,5.7037078,6229 AZ,Maastricht,Nederland
,50.8305326,5.7038015,6229 AX,Maastricht,Nederland
,50.8305971,5.7039826,6229 AX,Maastricht,Nederland
,50.8307753,5.7038914,6229 AZ,Maastricht,Nederland
,50.8611598,5.6823605,6219 PJ,Maastricht,Nederland
,50.8518726,5.6621104,6216 BB,Maastricht,Nederland
,50.8599000,5.7138376,6222 XX,Maastricht,Nederland
,50.8896948,5.6509604,3620,Lanaken,België / Belgique / Belgien
,50.8521222,5.7805145,6325 PD,Berg en Terblijt,Nederland
,50.8447444,5.7855133,6268 NN,Bemelen,Nederland
,50.8617074,5.7119872,6222 WH,Maastricht,Nederland
,50.7654505,5.7317080,6245 KK,Eijsden,Nederland
,50.9091903,5.6247137,3620,Lanaken,België / Belgique / Belgien
,50.8401898,5.6495761,6215 SW,Maastricht,Nederland
,50.8642676,5.6900205,6219 BH,Maastricht,Nederland
Malbergplein,50.8636094,5.6552422,6218 VC,Maastricht,Nederland
,50.8323455,5.7036186,6229 BN,Maastricht,Nederland
,50.8977778,5.7416323,6241 GC,Bunde,Nederland
,50.8976276,5.7413645,6241 GC,Bunde,Nederland
,50.8955491,5.7430593,6241 EK,Bunde,Nederland
,50.8956788,5.7424288,6241 EK,Bunde,Nederland
,50.8962671,5.7414906,6241 EK,Bunde,Nederland
,50.8610034,5.6812244,6219 PJ,Maastricht,Nederland
,50.8604220,5.6810012,6219 PK,Maastricht,Nederland
,50.8596995,5.6814921,6219 PK,Maastricht,Nederland
,50.8596179,5.6823086,6219 PB,Maastricht,Nederland
,50.8292822,5.6177990,3770,Riemst,België / Belgique / Belgien
,50.8274430,5.6707194,6212 NK,Maastricht,Nederland
,50.8274654,5.7702421,6267 EM,Cadier en Keer,Nederland
,50.8324482,5.5537016,3740,Bilzen,België / Belgique / Belgien
,50.8608785,5.6518553,6218 RB,Maastricht,Nederland
,50.8606142,5.6512189,6218 RB,Maastricht,Nederland
,50.8603499,5.6505993,6218 RB,Maastricht,Nederland
,50.8600962,5.6499797,6218 RB,Maastricht,Nederland
,50.8598286,5.6493540,6218 RB,Maastricht,Nederland
,50.8789410,5.7245616,6222 PG,Maastricht,Nederland
Par'Course 1,50.8664700,5.8233340,6301 WD,Valkenburg,Nederland
,50.8692061,5.7981209,6301 KK,Valkenburg,Nederland
,50.8969743,5.7305342,6241 CN,Bunde,Nederland
,50.8427851,5.6849960,6212 GC,Maastricht,Nederland
,50.9159460,5.6842219,3621,Lanaken,België / Belgique / Belgien
,50.8479609,5.7313200,6226 NK,Maastricht,Nederland
,50.8461456,5.7291006,6226 ED,Maastricht,Nederland
,50.8491645,5.7299438,6226 GZ,Maastricht,Nederland
,50.8488097,5.7299038,6226 NK,Maastricht,Nederland
,50.8475057,5.7303552,6226 NK,Maastricht,Nederland
,50.8477525,5.7284606,6226 GS,Maastricht,Nederland
,50.8255343,5.8177624,6269 CW,Margraten,Nederland
,50.8210258,5.8204595,6269 CD,Margraten,Nederland
,50.8647076,5.7875129,6325 CR,Berg en Terblijt,Nederland
,50.8598511,5.7943635,6325 HH,Vilt,Nederland
,50.8577329,5.8096882,6325 AZ,Vilt,Nederland
,50.8599344,5.8082923,6325 AX,Vilt,Nederland
,50.8642852,5.7854634,6325 CR,Berg en Terblijt,Nederland
,50.8603400,5.7920756,6325 BM,Vilt,Nederland
,50.8604810,5.7902576,6325 BR,Vilt,Nederland
,50.8660926,5.8231726,6301 WD,Valkenburg,Nederland
,50.8655909,5.8258954,6301 GN,Valkenburg,Nederland
,50.8641692,5.8276967,6301 GK,Valkenburg,Nederland
,50.8659767,5.8237697,6301 GN,Valkenburg,Nederland
,50.8600761,5.8312032,6301 BN,Valkenburg,Nederland
,50.8617782,5.8291746,6301 BK,Valkenburg,Nederland
,50.8604451,5.8262942,6325 AS,Vilt,Nederland
Par'Course 2,50.8676725,5.8232159,6301 WB,Valkenburg,Nederland
,50.8685387,5.8236694,6301 WH,Valkenburg,Nederland
,50.8508976,5.6810877,6211 PG,Maastricht,Nederland
,50.8504188,5.6812665,6211 PG,Maastricht,Nederland
,50.8449206,5.6884076,6211 KJ,Maastricht,Nederland
,50.8513042,5.6850150,6211 RP,Maastricht,Nederland
,50.8563460,5.6922923,6211 AL,Maastricht,Nederland
,50.8517548,5.6868616,6211 XK,Maastricht,Nederland
,50.8516357,5.6845445,6211 RK,Maastricht,Nederland
,50.8520718,5.6846130,6211 RK,Maastricht,Nederland
,50.8624590,5.7351382,6225 GV,Maastricht,Nederland
,50.8624558,5.7356298,6225 GV,Maastricht,Nederland
,50.8631783,5.7375195,6225 GW,Maastricht,Nederland
,50.8328833,5.5531168,3740,Bilzen,België / Belgique / Belgien
,50.8656758,5.6305182,3620,Lanaken,België / Belgique / Belgien
,50.8675985,5.6281861,3620,Lanaken,België / Belgique / Belgien
,50.8678162,5.6278801,3620,Lanaken,België / Belgique / Belgien
,50.8644587,5.6265265,3620,Lanaken,België / Belgique / Belgien
,50.8645991,5.6265300,3620,Lanaken,België / Belgique / Belgien
,50.8656558,5.6326788,3620,Lanaken,België / Belgique / Belgien
,50.8711528,5.6329742,3620,Lanaken,België / Belgique / Belgien
,50.8717037,5.6333806,3620,Lanaken,België / Belgique / Belgien
,50.8626715,5.6341747,3620,Lanaken,België / Belgique / Belgien
,50.8786954,5.6284627,3620,Lanaken,België / Belgique / Belgien
,50.8453162,5.7307016,6226 HG,Maastricht,Nederland
,50.8403393,5.7322113,6227 VT,Maastricht,Nederland
,50.8172032,5.7096231,6229 PC,Maastricht,Nederland
,50.8046724,5.7071747,6245 LC,Eijsden,Nederland
,50.8513490,5.7299824,6226 BD,Maastricht,Nederland
,50.8737150,5.7962085,6301 JH,Valkenburg,Nederland
,50.8321005,5.6533276,6213 KG,Maastricht,Nederland
,50.8109264,5.6041336,3770,Riemst,België / Belgique / Belgien
,50.8105280,5.6038220,3770,Riemst,België / Belgique / Belgien
,50.8107436,5.6043610,3770,Riemst,België / Belgique / Belgien
,50.8107297,5.6040304,3770,Riemst,België / Belgique / Belgien
,50.8259656,5.6442515,3770,Riemst,België / Belgique / Belgien
,50.7924434,5.6231617,3770,Riemst,België / Belgique / Belgien
Carrefour Market,50.7968456,5.6151072,3770,Riemst,België / Belgique / Belgien
,50.8595426,5.6927078,6211 AC,Maastricht,Nederland
,50.8594078,5.6923050,6211 AC,Maastricht,Nederland
,50.8600044,5.6947813,6221 AB,Maastricht,Nederland
,50.8109224,5.7223986,6247 NZ,Gronsveld,Nederland
,50.8119287,5.7220857,6247 NZ,Gronsveld,Nederland
,50.8134140,5.7210026,6247 NZ,Gronsveld,Nederland
,50.8942337,5.7273331,6241 JB,Bunde,Nederland
,50.8307385,5.7276286,6228 AT,Maastricht,Nederland
,50.8488505,5.6702896,6214 PA,Maastricht,Nederland
,50.8489994,5.6702100,6214 PA,Maastricht,Nederland
,50.8491954,5.6701779,6214 PA,Maastricht,Nederland
,50.8486437,5.6691244,6216 BX,Maastricht,Nederland
,50.8698602,5.7202799,6222 AN,Maastricht,Nederland
,50.7653538,5.7317804,6245 KK,Eijsden,Nederland
,50.8473170,5.7656219,6268 NE,Bemelen,Nederland
,50.8239064,5.8186891,6269 CW,Margraten,Nederland
,50.8462109,5.7577320,6268 NT,Bemelen,Nederland
,50.8698014,5.7128416,6222 NG,Maastricht,Nederland
,50.8548266,5.6942078,6211 AG,Maastricht,Nederland
,50.8548900,5.6945664,6211 AG,Maastricht,Nederland
,50.8840474,5.6356980,3620,Lanaken,België / Belgique / Belgien
,50.8164851,5.7256697,6228 NB,Maastricht,Nederland
Stiegel,50.7794515,5.7030211,6245 EV,Eijsden,Nederland
,50.7827109,5.7141512,6245 HH,Eijsden,Nederland
,50.7865562,5.5963332,3770,Riemst,België / Belgique / Belgien
,50.8222586,5.8145999,6269 CZ,Margraten,Nederland
,50.8821465,5.6358160,3620,Lanaken,België / Belgique / Belgien
,50.7954675,5.6100226,3770,Riemst,België / Belgique / Belgien
,50.7920178,5.5882169,3770,Riemst,België / Belgique / Belgien
,50.8079290,5.5720475,3770,Riemst,België / Belgique / Belgien
Mergelgrotten Zichen,50.7893954,5.6164776,3770,Riemst,België / Belgique / Belgien
,50.7913660,5.6202549,3770,Riemst,België / Belgique / Belgien
,50.7922607,5.6205929,3770,Riemst,België / Belgique / Belgien
,50.7931853,5.6225628,3770,Riemst,België / Belgique / Belgien
,50.7934710,5.6228552,3770,Riemst,België / Belgique / Belgien
,50.7862420,5.6357882,3770,Riemst,België / Belgique / Belgien
,50.7932929,5.6387135,3770,Riemst,België / Belgique / Belgien
,50.7936644,5.6381893,3770,Riemst,België / Belgique / Belgien
,50.7932482,5.6374614,3770,Riemst,België / Belgique / Belgien
,50.7974113,5.6329335,3770,Riemst,België / Belgique / Belgien
,50.8329296,5.5896479,3770,Riemst,België / Belgique / Belgien
,50.8061553,5.6042487,3770,Riemst,België / Belgique / Belgien
,50.8065886,5.6124177,3770,Riemst,België / Belgique / Belgien
,50.8477563,5.5767336,3740,Bilzen,België / Belgique / Belgien
,50.8480317,5.5763039,3740,Bilzen,België / Belgique / Belgien
,50.9034318,5.6595201,3620,Lanaken,België / Belgique / Belgien
,50.8100218,5.5908928,3770,Riemst,België / Belgique / Belgien
,50.7973616,5.6349276,3770,Riemst,België / Belgique / Belgien
,50.7908094,5.6143123,3770,Riemst,België / Belgique / Belgien
,50.8736126,5.5766988,3740,Bilzen,België / Belgique / Belgien
,50.8791442,5.6084643,3620,Lanaken,België / Belgique / Belgien
,50.8645446,5.7091464,6222 CT,Maastricht,Nederland
,50.8654141,5.7109944,6222 DZ,Maastricht,Nederland
,50.7818852,5.6665977,4690,Ében,België / Belgique / Belgien
,50.9223699,5.6131244,,Lanaken,België / Belgique / Belgien
,50.9241837,5.7026416,3621,Lanaken,België / Belgique / Belgien
,50.9241571,5.6873259,3621,Lanaken,België / Belgique / Belgien
,50.8097992,5.6705825,3770,Riemst,België / Belgique / Belgien
,50.8490584,5.6640264,6216 CV,Maastricht,Nederland
,50.7789341,5.6603475,4690,Ében,België / Belgique / Belgien
,50.8571626,5.6629443,6217 BV,Maastricht,Nederland
,50.8438887,5.7246289,6226 HR,Maastricht,Nederland
,50.8424562,5.7194033,6227 SL,Maastricht,Nederland
,50.8418692,5.7193946,6227 SL,Maastricht,Nederland
Stadspark II,50.8426102,5.6958358,6212 AC,Maastricht,Nederland
,50.8903980,5.6591297,3620,Lanaken,België / Belgique / Belgien
,50.8907530,5.6589904,3620,Lanaken,België / Belgique / Belgien
,50.8910136,5.6551384,3620,Lanaken,België / Belgique / Belgien
,50.9399902,5.6915414,3630,Maasmechelen,België / Belgique / Belgien
,50.8485529,5.6726282,6214 PB,Maastricht,Nederland
,50.8480657,5.6726567,6214 PA,Maastricht,Nederland
,50.8725800,5.6924690,6223 AB,Maastricht,Nederland
,50.8716986,5.6944707,6223 AB,Maastricht,Nederland
,50.8705615,5.6970307,6223 AB,Maastricht,Nederland
,50.7764270,5.6485027,4690,Ében,België / Belgique / Belgien
,50.7844908,5.6866595,4600,Visé,België / Belgique / Belgien
,50.8471132,5.7101954,6224 KD,Maastricht,Nederland
,50.8473550,5.7091239,6224 LW,Maastricht,Nederland
,50.8472701,5.7094657,6224 LW,Maastricht,Nederland
,50.8470855,5.7096346,6224 LX,Maastricht,Nederland
Parking Natuurbegraafplaats,50.9271629,5.6675590,3621,Lanaken,België / Belgique / Belgien
,50.8862999,5.7413077,6231 DA,Rothem,Nederland
P19 Parking Colmonterveld,50.9225307,5.6995733,3621,Lanaken,België / Belgique / Belgien
,50.8557296,5.6534161,6216 AH,Maastricht,Nederland
Stadspark I,50.8426828,5.6975274,6212 XN,Maastricht,Nederland
Maastricht UMC+,50.8335413,5.7111597,6229 HA,Maastricht,Nederland
,50.8360976,5.6856900,6212 NH,Maastricht,Nederland
Bogaardenplaats,50.8528944,5.6871415,6211 XH,Maastricht,Nederland
,50.8083790,5.5750521,3770,Riemst,België / Belgique / Belgien
